ID,Name,Tier,Time,Desc,Agents,Gladia,AgentsID,GladiaID,Drop
CC00001,신선한 고치,1,6,"결정화 된지 오래 지나지 않은 고치.
봉인이 단단하다.
최근 조난당한 사람이 들어있으리라 예상된다.","""메이드 아쳐"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01001,AG01010,AG01007,AG01021,AG01003,AG01004",,"FREE0101,FREE0102,FREE0103,FREE0104"
CC00001_1,무덤 고치,5,1,"무덤에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""아쿠아마린 원석"",""붉은색 원석"",""분홍빛 원석"",""하울라이트 원석"",""투어멀린 원석""",,"GD00037,GD00052,GD00043,GD00025,GD00022","HUNT0504,HUNT0505"
CC00002,그래핀 고치,1,6,그래핀 둥지에서 발견한 고치,"""소드테스터"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01006,AG01010,AG01007,AG01021,AG01003,AG01004",,HUNT0101
CC00003,또다른 무덤 고치,5,1,"무덤에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""보랏빛 원석"",""하얀색 가루"",""초록색 돌"",""불투명한 파란돌"",""로즈 다이아 원석""",,"GD00080,GD00068,GD00065,GD00034,GD00028","HUNT0505,HUNT0518"
CC00004,,,,,,,,,
CC00005,빙벽 고치,2,12,결정화 된지 ,"""에코코 권술사"",""견습 궁수"",""연금술사""",,"AG01012,AG02022,AG02024",,FREE0201
CC00005_1,떠다니던 고치,3,12,코발트 아이기스 위를 둥둥 떠다니던 고치.,"""야오 페이"",""바우엘"",""제리코"",""메이드 아쳐"",""소드테스터"",""견습 중보병"",""눈빛수도원 복사"",""목공조합 철거기사"",""로엔 돌격병"",""로엔 강습병"",""연금술사""",,"AG03037,AG03038,AG03042,AG01001,AG01006,AG01029,AG01009,AG01003,AG01010,AG01021,AG02024",,"FREE0301,FREE0302,HUNT0301,HUNT0302,HUNT0303,HUNT0304,HUNT0305,HUNT0306,HUNT0307,FREE0303,FREE0305,RAID0401"
CC00005_2,호수 고치,3,1,"호수에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""불투명한 파란돌"",""하울라이트 원석"",""투어멀린 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00034,GD00025,GD00022,GD00019,GD00016","HUNT0313,HUNT0314"
CC00005_3,눈에서 발굴한 고치,2,12,"눈이 덮인 지역에서 발견된 고치.
거친 환경에 방치되어서인지, 상당히 마모되어 있다.","""라무"",""에코코 권술사"",""돌탄 전사"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장"",""견습 궁수"",""연금술사""",,"AG02033,AG01012,AG01011,AG01010,AG01007,AG01021,AG01003,AG01004,AG02022,AG02024",,"FREE0202,HUNT0204,HUNT0205,HUNT0206"
CC00006,딱딱한 고치,1,6,"글레이저가 보유하고 있던 고치.
오래 방치되어 고치 외피가 딱딱해 졌다.
특별한 힘을 가진 요원이 있을 가능성이 있다.","""견습 중보병"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01029,AG01010,AG01007,AG01021,AG01003,AG01004",,
CC00007,해적 고치,2,1,해적선에서 발견한 고치.,"""마리아나"",""갈고리 해적단 검사"",""갈고리 해적단 총잡이""",,"AG01020,AG01028,AG01032",,RAID0101
CC00008,수도원 고치,1,6,신성한 기운이 느껴지는 고치.,"""눈빛수도원 복사"",""로엔 돌격병"",""견습 창기사"",""로엔 강습병"",""목공조합 철거기사"",""가시선인장""",,"AG01009,AG01010,AG01007,AG01021,AG01003,AG01004",,"FREE0105,HUNT0103"
CC00008_1,빛나는 돌 고치,3,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.

레어 글라디아 등장 확률이 증가한다.",,"""로즈 다이아 원석"",""하울라이트 원석"",""투어멀린 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00028,GD00025,GD00022,GD00019,GD00016",HUNT0312
CC00009,척삭동물 고치,3,1,"코르메의 둥지에서 발견한 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""로즈 다이아 원석"",""분홍빛 원석"",""투어멀린 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00028,GD00043,GD00022,GD00019,GD00016","HUNT0319,RAID0401"
CC00009_1,데인데 숲 고치,6,1,,,"""펠드스파 원석"",""푸르딩딩한 돌"",""불투명한 원석"",""로즈 다이아 원석"",""하울라이트 원석""",,"GD00013,GD00101,GD00086,GD00028,GD00025","RAID0603,RAID0701"
CC00010,돌 고치,3,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""로즈 다이아 원석"",""하울라이트 원석"",""투어멀린 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00028,GD00025,GD00022,GD00019,GD00016",HUNT0312
CC00010_1,수면실 고치,4,48,버려진 HOL에서 발견된 고치.,"""스페이드"",""눈빛수도원 복사"",""연금술사"",""견습 중보병"",""견습 궁수"",""가시선인장"",""견습 창기사"",""돌탄 전사"",""쿼카 검사""",,"AG04058,AG01009,AG02024,AG01029,AG02022,AG01004,AG01007,AG01011,AG01019",,HUNT0408
CC00010_2,기계장치 고치,7,1,"기계장치 속에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""벚꽃 품은 돌"",""원석이 박힌 돌"",""분홍빛 원석"",""로즈 다이아 원석"",""하울라이트 원석""",,"GD00134,GD00074,GD00043,GD00028,GD00025",
CC00011,,,,,,,,,
CC00012,폭탄 고치,2,12,제로 필드 구역에서 발견된 고치.,"""폭탄 라루후"",""메이드 아쳐"",""소드테스터"",""견습 중보병"",""눈빛수도원 복사"",""목공조합 철거기사"",""로엔 돌격병"",""로엔 강습병"",""연금술사""",,"AG03045,AG01001,AG01006,AG01029,AG01009,AG01003,AG01010,AG01021,AG02024",,FREE0304
CC00012_1,또다른 신비한 고치,5,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""원석이 박힌 돌"",""짙푸른 원석"",""불투명한 원석"",""하울라이트 원석"",""투어멀린 원석""",,"GD00074,GD00077,GD00086,GD00025,GD00022",HUNT0511
CC00013,석탄 고치,2,1,"광산에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.","""로엔 돌격병"",""견습 창기사"",""목공조합 철거기사"",""가시선인장""","""펠드스파 원석"",""GGG 원석"",""코펄 원석"",""에피도트 원석"",""라줄라이트 원석""","AG01010,AG01007,AG01003,AG01004","GD00013,GD00010,GD00007,GD00001,GD00004",FREE0203
CC00013_1,괴수의 고치,3,6,대 괴수가 토해낸 고치.,"""이스류나"",""듀렐 빙결사"",""듀렐 열양사"",""소드테스터"",""견습 중보병"",""가시선인장"",""견습 창기사"",""돌탄 전사"",""쿼카 검사""",,"AG03039,AG01002,AG01005,AG01006,AG01029,AG01004,AG01007,AG01011,AG01019",,"FREE0306,RAID0401"
CC00014,,,,,,,,,
CC00023,붉은 고치,4,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""불타는 원석"",""붉은색 원석"",""분홍빛 원석"",""투어멀린 원석"",""묘안석 원석""",,"GD00055,GD00052,GD00043,GD00022,GD00016",HUNT0402
CC00023_1,신비한 고치,5,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""루돌프 사슴 코"",""불타는 원석"",""붉은색 원석"",""분홍빛 원석"",""로즈 다이아 원석""",,"GD00089,GD00055,GD00052,GD00043,GD00028",HUNT0511
CC00024,불타는 고치,4,1,"대평야에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.

레어 글라디아 등장 확률이 증가한다.",,"""불타는 원석"",""붉은색 원석"",""분홍빛 원석"",""투어멀린 원석"",""묘안석 원석""",,"GD00055,GD00052,GD00043,GD00022,GD00016",HUNT0402
CC00028,거미의 고치,5,1,"거미 그물에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.

거미의 만찬이 되어버린 그들도...","""연금술사"",""견습 창기사"",""쿼카 검사"",""가시선인장""","""보랏빛 원석"",""짙푸른 원석"",""빛나는 진주"",""투어멀린 원석"",""묘안석 원석""","AG02024,AG01007,AG01019,AG01004","GD00080,GD00077,GD00061,GD00022,GD00016","HUNT0501,HUNT0512"
CC00028_1,검은 대륙 고치,6,1,"검은 대륙에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""푸르딩딩한 돌"",""원석이 박힌 돌"",""불투명한 원석"",""하울라이트 원석"",""투어멀린 원석""",,"GD00101,GD00074,GD00086,GD00025,GD00022","FREE0601,FREE0604,RAID0602"
CC00029,빛나는 광물 고치,4,1,"동굴에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""빛나는 원석"",""붉은색 원석"",""하울라이트 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00058,GD00052,GD00025,GD00019,GD00016","HUNT0404,HUNT0411"
CC00029_1,빛나는 거미의 고치,5,1,"거미 그물에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.

거미의 만찬이 되어버린 그들도...

레어 글라디아 등장 확률이 증가한다.","""연금술사"",""견습 창기사"",""쿼카 검사"",""가시선인장""","""보랏빛 원석"",""짙푸른 원석"",""빛나는 진주"",""투어멀린 원석"",""묘안석 원석""","AG02024,AG01007,AG01019,AG01004","GD00080,GD00077,GD00061,GD00022,GD00016","HUNT0501,HUNT0512"
CC90001,광물 고치,4,1,"동굴에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""빛나는 원석"",""붉은색 원석"",""하울라이트 원석"",""앨러배스터 원석"",""묘안석 원석""",,"GD00058,GD00052,GD00025,GD00019,GD00016","HUNT0404,HUNT0411"
CC90001_1,유령 해적선 고치,7,1,,,"""바닷속 조약돌"",""보랏빛 원석"",""불투명한 원석"",""불투명한 파란돌"",""하울라이트 원석""",,"GD00104,GD00080,GD00086,GD00034,GD00025",RAID0701
CC90002,고양이 고치,2,3,"고양이 마법사가 숨어버린 고치.
고양이 마법사를 이미 데리고 있다면, 쿼카 검사가 나온다.

고양이 마법사 등장 확률 99.99%","""파뇨푸치"",""쿼카 검사""",,"AG01023,AG01019",,HUNT0210
CC90002_1,강철 고치,2,1,"광산에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.

글라디아 등장 확률이 증가한다.","""로엔 돌격병"",""견습 창기사"",""목공조합 철거기사"",""가시선인장""","""펠드스파 원석"",""GGG 원석"",""코펄 원석"",""에피도트 원석"",""라줄라이트 원석""","AG01010,AG01007,AG01003,AG01004","GD00013,GD00010,GD00007,GD00001,GD00004",FREE0204
CC90002_2,남겨진 고치,6,1,"이름 모를 헤이븐에서 발견된 고치.
특별한 힘을 가진 광물이 들어있다고 한다.",,"""푸르딩딩한 돌"",""보랏빛 원석"",""토끼의 눈"",""하울라이트 원석"",""투어멀린 원석""",,"GD00101,GD00080,GD00083,GD00025,GD00022",HUNT0601
CC90003,,,,,,,,,